"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition",Note,Quantity
International,"Journey Together",033/159,33,Remoraid,Common,Normal,English,Unspecified,,1
International,"Journey Together",033/159,33,Remoraid,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",034/159,34,Octillery,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",035/159,35,Lotad,Common,Normal,English,Unspecified,,3
International,"Journey Together",035/159,35,Lotad,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",036/159,36,Lombre,Common,Normal,English,Unspecified,,4
International,"Journey Together",037/159,37,Ludicolo,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",038/159,38,Wingull,Common,Normal,English,Unspecified,,2
International,"Journey Together",038/159,38,Wingull,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",039/159,39,Pelipper,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",039/159,39,Pelipper,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",040/159,40,Wailmer,Common,Normal,English,Unspecified,,1
International,"Journey Together",041/159,41,Wailord,Rare,"Normal Holo",English,Unspecified,,3
International,"Journey Together",042/159,42,Regice,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",042/159,42,Regice,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",044/159,44,"Alolan Geodude",Common,Normal,English,Unspecified,,6
International,"Journey Together",044/159,44,"Alolan Geodude",Common,"Reverse Holo",English,Unspecified,,3
International,"Journey Together",046/159,46,"Alolan Golem",Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",046/159,46,"Alolan Golem",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",047/159,47,"Iono's Voltorb",Common,Normal,English,Unspecified,,2
International,"Journey Together",048/159,48,"Iono's Electrode",Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",049/159,49,"N's Joltik",Common,Normal,English,Unspecified,,4
International,"Journey Together",049/159,49,"N's Joltik",Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",050/159,50,Togedemaru,Common,Normal,English,Unspecified,,2
International,"Journey Together",050/159,50,Togedemaru,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",051/159,51,"Tapu Koko ex","Double Rare","Normal Holo",English,Unspecified,,2
International,"Journey Together",052/159,52,"Iono's Tadbulb",Common,Normal,English,Unspecified,,1
International,"Journey Together",052/159,52,"Iono's Tadbulb",Common,"Cosmos Holo",English,Unspecified,,1
International,"Journey Together",054/159,54,"Iono's Wattrel",Common,Normal,English,Unspecified,,1
International,"Journey Together",054/159,54,"Iono's Wattrel",Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",055/159,55,"Iono's Kilowattrel",Rare,"Normal Holo",English,Unspecified,,3
International,"Journey Together",055/159,55,"Iono's Kilowattrel",Rare,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",057/159,57,"Alolan Marowak",Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",058/159,58,"Mr. Mime",Common,Normal,English,Unspecified,,2
International,"Journey Together",059/159,59,Shuppet,Common,Normal,English,Unspecified,,2
International,"Journey Together",060/159,60,Banette,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",060/159,60,Banette,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",061/159,61,Beldum,Common,Normal,English,Unspecified,,4
International,"Journey Together",062/159,62,Metang,Common,Normal,English,Unspecified,,4
International,"Journey Together",062/159,62,Metang,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",063/159,63,Metagross,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",064/159,64,"N's Sigilyph",Common,Normal,English,Unspecified,,2
International,"Journey Together",064/159,64,"N's Sigilyph",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",065/159,65,Oricorio,Common,Normal,English,Unspecified,,2
International,"Journey Together",066/159,66,"Lillie's Cutiefly",Common,Normal,English,Unspecified,,2
International,"Journey Together",066/159,66,"Lillie's Cutiefly",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",067/159,67,"Lillie's Ribombee",Rare,"Normal Holo",English,Unspecified,,4
International,"Journey Together",068/159,68,"Lillie's Comfey",Common,Normal,English,Unspecified,,2
International,"Journey Together",068/159,68,"Lillie's Comfey",Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",070/159,70,Dhelmise,Common,Normal,English,Unspecified,,4
International,"Journey Together",071/159,71,Impidimp,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",072/159,72,Morgrem,Common,Normal,English,Unspecified,,4
International,"Journey Together",073/159,73,Grimmsnarl,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",073/159,73,Grimmsnarl,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",076/159,76,Cubone,Common,Normal,English,Unspecified,,5
International,"Journey Together",076/159,76,Cubone,Common,"Reverse Holo",English,Unspecified,,3
International,"Journey Together",077/159,77,Swinub,Common,Normal,English,Unspecified,,4
International,"Journey Together",077/159,77,Swinub,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",078/159,78,Piloswine,Common,Normal,English,Unspecified,,4
International,"Journey Together",080/159,80,Larvitar,Common,Normal,English,Unspecified,,2
International,"Journey Together",080/159,80,Larvitar,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",081/159,81,Pupitar,Common,Normal,English,Unspecified,,3
International,"Journey Together",082/159,82,Regirock,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",082/159,82,Regirock,Rare,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",083/159,83,Pancham,Common,Normal,English,Unspecified,,3
International,"Journey Together",083/159,83,Pancham,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",084/159,84,Rockruff,Common,Normal,English,Unspecified,,4
International,"Journey Together",084/159,84,Rockruff,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",085/159,85,Lycanroc,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",086/159,86,"Hop's Silicobra",Common,Normal,English,Unspecified,,4
International,"Journey Together",086/159,86,"Hop's Silicobra",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",087/159,87,"Hop's Sandaconda",Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",088/159,88,Toedscool,Common,Normal,English,Unspecified,,2
International,"Journey Together",088/159,88,Toedscool,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",089/159,89,Toedscruel,Uncommon,Normal,English,Unspecified,,7
International,"Journey Together",089/159,89,Toedscruel,Uncommon,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",090/159,90,Klawf,Uncommon,Normal,English,Unspecified,,1
International,"Journey Together",091/159,91,Koffing,Common,Normal,English,Unspecified,,2
International,"Journey Together",092/159,92,Weezing,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",094/159,94,"Paldean Clodsire ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",095/159,95,Tyranitar,Rare,"Normal Holo",English,Unspecified,,3
International,"Journey Together",096/159,96,"N's Purrloin",Common,Normal,English,Unspecified,,2
International,"Journey Together",097/159,97,"N's Zorua",Common,Normal,English,Unspecified,,4
International,"Journey Together",098/159,98,"N's Zoroark ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",099/159,99,Pangoro,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",100/159,100,Lokix,Uncommon,Normal,English,Unspecified,,7
International,"Journey Together",100/159,100,Lokix,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",101/159,101,Bombirdier,Common,Normal,English,Unspecified,,2
International,"Journey Together",102/159,102,Escavalier,Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",103/159,103,"N's Klink",Common,Normal,English,Unspecified,,3
International,"Journey Together",104/159,104,"N's Klang",Common,Normal,English,Unspecified,,2
International,"Journey Together",105/159,105,"N's Klinklang",Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",105/159,105,"N's Klinklang",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",106/159,106,"Galarian Stunfisk",Common,Normal,English,Unspecified,,3
International,"Journey Together",107/159,107,Magearna,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",108/159,108,"Hop's Corviknight",Uncommon,Normal,English,Unspecified,,6
International,"Journey Together",108/159,108,"Hop's Corviknight",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",109/159,109,Cufant,Common,Normal,English,Unspecified,,6
International,"Journey Together",109/159,109,Cufant,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",110/159,110,Copperajah,Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",111/159,111,"Hop's Zacian ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",112/159,112,Bagon,Common,Normal,English,Unspecified,,2
International,"Journey Together",113/159,113,Shelgon,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",115/159,115,Druddigon,Common,Normal,English,Unspecified,,4
International,"Journey Together",115/159,115,Druddigon,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",116/159,116,"N's Reshiram",Rare,"Normal Holo",English,Unspecified,,1
International,"Journey Together",117/159,117,"Hop's Snorlax",Rare,"Normal Holo",English,Unspecified,,3
International,"Journey Together",117/159,117,"Hop's Snorlax",Rare,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",118/159,118,Sentret,Common,Normal,English,Unspecified,,5
International,"Journey Together",118/159,118,Sentret,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",119/159,119,Furret,Common,Normal,English,Unspecified,,3
International,"Journey Together",120/159,120,Dunsparce,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",121/159,121,"Dudunsparce ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",122/159,122,Kecleon,Common,Normal,English,Unspecified,,1
International,"Journey Together",123/159,123,Tropius,Common,Normal,English,Unspecified,,4
International,"Journey Together",124/159,124,Audino,Common,Normal,English,Unspecified,,3
International,"Journey Together",124/159,124,Audino,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",125/159,125,Minccino,Common,Normal,English,Unspecified,,6
International,"Journey Together",126/159,126,Cinccino,Uncommon,Normal,English,Unspecified,,7
International,"Journey Together",126/159,126,Cinccino,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",127/159,127,Noibat,Common,Normal,English,Unspecified,,7
International,"Journey Together",127/159,127,Noibat,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",128/159,128,Noivern,Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",129/159,129,Komala,Common,Normal,English,Unspecified,,2
International,"Journey Together",129/159,129,Komala,Common,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",130/159,130,Drampa,Common,Normal,English,Unspecified,,3
International,"Journey Together",130/159,130,Drampa,Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",131/159,131,Skwovet,Common,Normal,English,Unspecified,,6
International,"Journey Together",132/159,132,Greedent,Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",132/159,132,Greedent,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",133/159,133,"Hop's Rookidee",Common,Normal,English,Unspecified,,3
International,"Journey Together",133/159,133,"Hop's Rookidee",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",134/159,134,"Hop's Corvisquire",Common,Normal,English,Unspecified,,2
International,"Journey Together",135/159,135,"Hop's Wooloo",Common,Normal,English,Unspecified,,3
International,"Journey Together",135/159,135,"Hop's Wooloo",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",135/159,135,"Hop's Wooloo",Common,"Cosmos Holo",English,Unspecified,,1
International,"Journey Together",136/159,136,"Hop's Dubwool",Rare,"Normal Holo",English,Unspecified,,2
International,"Journey Together",136/159,136,"Hop's Dubwool",Rare,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",136/159,136,"Hop's Dubwool",Rare,"Cosmos Holo",English,Unspecified,,1
International,"Journey Together",137/159,137,Cramorant,Common,Normal,English,Unspecified,,1
International,"Journey Together",138/159,138,"Hop's Cramorant",Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",139/159,139,Lechonk,Common,Normal,English,Unspecified,,5
International,"Journey Together",140/159,140,Oinkologne,Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",140/159,140,Oinkologne,Uncommon,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",141/159,141,Squawkabilly,Common,Normal,English,Unspecified,,2
International,"Journey Together",142/159,142,"Billy & O'Nare",Common,Normal,English,Unspecified,,2
International,"Journey Together",142/159,142,"Billy & O'Nare",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",143/159,143,"Black Belt's Training",Common,Normal,English,Unspecified,,3
International,"Journey Together",145/159,145,"Black Belt's Training",Common,Normal,English,Unspecified,,2
International,"Journey Together",145/159,145,"Black Belt's Training",Common,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",146/159,146,"Brock's Scouting",Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",147/159,147,"Hop's Bag",Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",148/159,148,"Hop's Choice Band",Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",149/159,149,"Iris's Fighting Spirit",Uncommon,Normal,English,Unspecified,,7
International,"Journey Together",150/159,150,Levincia,Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",150/159,150,Levincia,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",151/159,151,"Lillie's Pearl",Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",151/159,151,"Lillie's Pearl",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",152/159,152,"N's Castle",Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",152/159,152,"N's Castle",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",153/159,153,"N's PP Up",Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",153/159,153,"N's PP Up",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",154/159,154,Postwick,Uncommon,Normal,English,Unspecified,,2
International,"Journey Together",154/159,154,Postwick,Uncommon,"Reverse Holo",English,Unspecified,,3
International,"Journey Together",155/159,155,"Professor's Research",Common,Normal,English,Unspecified,,2
International,"Journey Together",156/159,156,"Redeemable Ticket",Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",156/159,156,"Redeemable Ticket",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",157/159,157,Ruffian,Uncommon,Normal,English,Unspecified,,3
International,"Journey Together",158/159,158,"Super Potion",Uncommon,Normal,English,Unspecified,,4
International,"Journey Together",158/159,158,"Super Potion",Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Journey Together",159/159,159,"Spiky Energy",Uncommon,Normal,English,Unspecified,,5
International,"Journey Together",159/159,159,"Spiky Energy",Uncommon,"Reverse Holo",English,Unspecified,,2
International,"Journey Together",161/159,161,Articuno,"Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",163/159,163,"Iono's Kilowattrel","Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",164/159,164,"Lillie's Ribombee","Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",165/159,165,Swinub,"Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",166/159,166,Lycanroc,"Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",169/159,169,Noibat,"Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",172/159,172,"Iono's Bellibolt ex","Ultra Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",174/159,174,"Mamoswine ex","Ultra Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",177/159,177,"Salamence ex","Ultra Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",186/159,186,"Hop's Zacian ex","Special Illustration Rare","Normal Holo",English,Unspecified,,1
International,"Journey Together",188/159,188,"Iono's Bellibolt ex","Hyper Rare","Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",001/131,1,Exeggcute,Common,Normal,English,Unspecified,,5
International,"Prismatic Evolutions",001/131,1,Exeggcute,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",002/131,2,Exeggutor,Uncommon,Normal,English,Unspecified,,1
International,"Prismatic Evolutions",002/131,2,Exeggutor,Uncommon,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",003/131,3,Pinsir,Common,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",003/131,3,Pinsir,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",004/131,4,Budew,Common,Normal,English,Unspecified,,1
International,"Prismatic Evolutions",004/131,4,Budew,Common,"Master Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",005/131,5,Leafeon,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",005/131,5,Leafeon,Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",007/131,7,Cottonee,Common,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",008/131,8,Whimsicott,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",009/131,9,Applin,Common,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",009/131,9,Applin,Common,"Master Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",010/131,10,Dipplin,Uncommon,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",013/131,13,Flareon,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",015/131,15,Litleo,Common,Normal,English,Unspecified,,1
International,"Prismatic Evolutions",015/131,15,Litleo,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",016/131,16,Pyroar,Uncommon,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",018/131,18,Slowpoke,Common,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",018/131,18,Slowpoke,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",019/131,19,Slowking,Uncommon,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",019/131,19,Slowking,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",020/131,20,Goldeen,Common,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",020/131,20,Goldeen,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",021/131,21,Seaking,Uncommon,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",022/131,22,Vaporeon,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",022/131,22,Vaporeon,Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",024/131,24,Suicune,Uncommon,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",025/131,25,Glaceon,Rare,"Normal Holo",English,Unspecified,,2
International,"Prismatic Evolutions",031/131,31,"Iron Hands ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",033/131,33,Espeon,Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",035/131,35,Duskull,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",035/131,35,Duskull,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",036/131,36,Dusclops,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",037/131,37,Dusknoir,Rare,"Normal Holo",English,Unspecified,,2
International,"Prismatic Evolutions",038/131,38,Spritzee,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",038/131,38,Spritzee,Common,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",039/131,39,Aromatisse,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",039/131,39,Aromatisse,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",039/131,39,Aromatisse,Common,"Master Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",040/131,40,Sylveon,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",040/131,40,Sylveon,Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",042/131,42,"Scream Tail",Uncommon,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",043/131,43,"Flutter Mane",Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",045/131,45,Fezandipiti,Rare,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",046/131,46,"Iron Boulder",Rare,"Normal Holo",English,Unspecified,,3
International,"Prismatic Evolutions",046/131,46,"Iron Boulder",Rare,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",047/131,47,Larvitar,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",048/131,48,Pupitar,Common,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",049/131,49,Groudon,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",050/131,50,Riolu,Common,Normal,English,Unspecified,,5
International,"Prismatic Evolutions",050/131,50,Riolu,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",051/131,51,"Lucario ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",052/131,52,Hippopotas,Common,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",052/131,52,Hippopotas,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",053/131,53,Hippowdon,Common,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",054/131,54,"Bloodmoon Ursaluna",Rare,"Normal Holo",English,Unspecified,,3
International,"Prismatic Evolutions",054/131,54,"Bloodmoon Ursaluna",Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",054/131,54,"Bloodmoon Ursaluna",Rare,"Poké Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",055/131,55,"Great Tusk",Uncommon,Normal,English,Unspecified,,1
International,"Prismatic Evolutions",057/131,57,Okidogi,Rare,"Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",057/131,57,Okidogi,Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",057/131,57,Okidogi,Rare,"Poké Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",061/131,61,Sneasel,Common,Normal,English,Unspecified,,5
International,"Prismatic Evolutions",061/131,61,Sneasel,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",061/131,61,Sneasel,Common,"Poké Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",062/131,62,Houndour,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",062/131,62,Houndour,Common,"Reverse Holo",English,Unspecified,,2
International,"Prismatic Evolutions",063/131,63,Houndoom,Common,Normal,English,Unspecified,,2
International,"Prismatic Evolutions",064/131,64,"Tyranitar ex","Double Rare","Normal Holo",English,Unspecified,,1
International,"Prismatic Evolutions",065/131,65,"Roaring Moon",Rare,"Normal Holo",English,Unspecified,,2
International,"Prismatic Evolutions",065/131,65,"Roaring Moon",Rare,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",066/131,66,Bronzor,Common,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",066/131,66,Bronzor,Common,"Reverse Holo",English,Unspecified,,1
International,"Prismatic Evolutions",067/131,67,Bronzong,Uncommon,Normal,English,Unspecified,,3
International,"Prismatic Evolutions",067/131,67,Bronzong,Uncommon,"Poké Ball Holo",English,Unspecified,,1
International,"Prismatic Evolutions",068/131,68,Heatran,Uncommon,Normal,English,Unspecified,,4
International,"Prismatic Evolutions",068/131,68,Heatran,Uncommon,"Reverse Holo",English,Unspecified,,1
